graph_id,graph_type,graph_seed,num_nodes,num_edges,edge_density,avg_degree,degree_std,max_degree,clustering,optimal_cut,qaoa_depth_p,optimizer,runtime_seconds,num_function_evaluations,theta_0,theta_1,expected_cut,exact_expected_ratio,best_cut,best_ratio,best_bitstring,optimal_solution_probability,empirical_expected_ratio_sampled,sampled_best_ratio,shots,topology,transpiled_depth,transpiled_cx,transpiled_1q_ops,transpiled_total_ops,cx_per_edge,cx_per_layer,cx_per_edge_per_layer,theta_2,theta_3,theta_4,theta_5
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,2,COBYLA,0.760610818862915,70,1.5327774409339072,1.2145580058520258,15.92263464641302,0.8845908136896122,18.0,1.0,1011110000,0.13233754075460488,0.8865831163194444,1.0,2048,linear,253,322,297,619,11.925925925925926,161.0,5.962962962962963,1.393344654234641,0.28622986738600953,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,2,COBYLA,0.760610818862915,70,1.5327774409339072,1.2145580058520258,15.92263464641302,0.8845908136896122,18.0,1.0,1011110000,0.13233754075460488,0.8865831163194444,1.0,2048,ring,203,257,331,588,9.518518518518519,128.5,4.7592592592592595,1.393344654234641,0.28622986738600953,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,2,COBYLA,0.760610818862915,70,1.5327774409339072,1.2145580058520258,15.92263464641302,0.8845908136896122,18.0,1.0,1011110000,0.13233754075460488,0.8865831163194444,1.0,2048,grid,170,181,261,442,6.703703703703703,90.5,3.3518518518518516,1.393344654234641,0.28622986738600953,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,2,COBYLA,0.760610818862915,70,1.5327774409339072,1.2145580058520258,15.92263464641302,0.8845908136896122,18.0,1.0,1011110000,0.13233754075460488,0.8865831163194444,1.0,2048,heavy_hex_like,178,189,223,412,7.0,94.5,3.5,1.393344654234641,0.28622986738600953,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,2,SPSA,1.8600549697875977,181,3.1411828842164615,1.561122432867061,14.355889134867358,0.7975493963815199,18.0,1.0,1011110000,0.035032122191896886,0.8006727430555556,1.0,2048,all_to_all,85,108,182,290,4.0,54.0,2.0,1.8632816377157577,0.5729065640947287,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,2,SPSA,1.8600549697875977,181,3.1411828842164615,1.561122432867061,14.355889134867358,0.7975493963815199,18.0,1.0,1011110000,0.035032122191896886,0.8006727430555556,1.0,2048,linear,242,316,292,608,11.703703703703704,158.0,5.851851851851852,1.8632816377157577,0.5729065640947287,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,2,SPSA,1.8600549697875977,181,3.1411828842164615,1.561122432867061,14.355889134867358,0.7975493963815199,18.0,1.0,1011110000,0.035032122191896886,0.8006727430555556,1.0,2048,ring,199,252,330,582,9.333333333333334,126.0,4.666666666666667,1.8632816377157577,0.5729065640947287,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,2,SPSA,1.8600549697875977,181,3.1411828842164615,1.561122432867061,14.355889134867358,0.7975493963815199,18.0,1.0,1011110000,0.035032122191896886,0.8006727430555556,1.0,2048,grid,187,189,233,422,7.0,94.5,3.5,1.8632816377157577,0.5729065640947287,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,2,SPSA,1.8600549697875977,181,3.1411828842164615,1.561122432867061,14.355889134867358,0.7975493963815199,18.0,1.0,1011110000,0.035032122191896886,0.8006727430555556,1.0,2048,heavy_hex_like,188,190,235,425,7.037037037037037,95.0,3.5185185185185186,1.8632816377157577,0.5729065640947287,,
erdos_renyi_n10_s7,erdos_renyi,7,10,27,0.6,5.4,1.0198039027185568,7,0.6276190476190476,18,3,COBYLA,0.9320032596588135,70,0.7998431879677709,0.403362571700819,13.917862327385441,0.7732145737436356,18.0,1.0,1011110000,0.017872442893943227,0.7728949652777778,1.0,2048,all_to_all,117,162,258,420,6.0,54.0,2.0,2.105520631246153,0.8897456575363378,0.8507374608594224,0.7498611216747345
